Nom;Poste;Date;Vitesse_m.s-1
Piton-Bloc;97405420;05/07/2016;1.5
Piton-Bloc;97405420;06/07/2016;1.5
Piton-Bloc;97405420;07/07/2016;1.3
Piton-Bloc;97405420;08/07/2016;0.8
Piton-Bloc;97405420;09/07/2016;0.4
Piton-Bloc;97405420;10/07/2016;0.3
Piton-Bloc;97405420;11/07/2016;0.5
Piton-Bloc;97405420;12/07/2016;1.4
Piton-Bloc;97405420;13/07/2016;0.9
Piton-Bloc;97405420;14/07/2016;0.9
Piton-Bloc;97405420;15/07/2016;0.7
Piton-Bloc;97405420;16/07/2016;1.6
Piton-Bloc;97405420;17/07/2016;2.3
Piton-Bloc;97405420;18/07/2016;1.2
Piton-Bloc;97405420;19/07/2016;0.8
Piton-Bloc;97405420;20/07/2016;0.7
Piton-Bloc;97405420;21/07/2016;0.8
Piton-Bloc;97405420;22/07/2016;0.8
Piton-Bloc;97405420;23/07/2016;0.8
Piton-Bloc;97405420;24/07/2016;0.9
Piton-Bloc;97405420;25/07/2016;0.8
Piton-Bloc;97405420;26/07/2016;2.4
Piton-Bloc;97405420;27/07/2016;2.1
Piton-Bloc;97405420;28/07/2016;1.5
Piton-Bloc;97405420;29/07/2016;1.1
Piton-Bloc;97405420;30/07/2016;0.6
Piton-Bloc;97405420;31/07/2016;1.0
Piton-Bloc;97405420;01/08/2016;1.4
Piton-Bloc;97405420;02/08/2016;1.1
Piton-Bloc;97405420;03/08/2016;1.0
Piton-Bloc;97405420;04/08/2016;0.9
Piton-Bloc;97405420;05/08/2016;1.0
Piton-Bloc;97405420;06/08/2016;0.7
Piton-Bloc;97405420;07/08/2016;1.0
Piton-Bloc;97405420;08/08/2016;0.9
Piton-Bloc;97405420;09/08/2016;1.2
Piton-Bloc;97405420;10/08/2016;1.2
Piton-Bloc;97405420;11/08/2016;0.8
Piton-Bloc;97405420;12/08/2016;0.7
Piton-Bloc;97405420;13/08/2016;1.0
Piton-Bloc;97405420;14/08/2016;1.8
Piton-Bloc;97405420;15/08/2016;1.5
Piton-Bloc;97405420;16/08/2016;1.0
Piton-Bloc;97405420;17/08/2016;1.5
Piton-Bloc;97405420;18/08/2016;1.3
Piton-Bloc;97405420;19/08/2016;1.8
Piton-Bloc;97405420;20/08/2016;1.0
Piton-Bloc;97405420;21/08/2016;1.0
Piton-Bloc;97405420;22/08/2016;1.1
Piton-Bloc;97405420;23/08/2016;1.3
Piton-Bloc;97405420;24/08/2016;1.2
Piton-Bloc;97405420;25/08/2016;1.1
Piton-Bloc;97405420;26/08/2016;1.0
Piton-Bloc;97405420;27/08/2016;1.2
