Nom;Poste;Date;Vitesse_ms
Piton St Leu;97413580;03/07/2016;0.3
Piton St Leu;97413580;04/07/2016;1.0
Piton St Leu;97413580;05/07/2016;2.1
Piton St Leu;97413580;06/07/2016;2.6
Piton St Leu;97413580;07/07/2016;2.0
Piton St Leu;97413580;08/07/2016;1.4
Piton St Leu;97413580;09/07/2016;1.5
Piton St Leu;97413580;10/07/2016;1.7
Piton St Leu;97413580;11/07/2016;1.9
Piton St Leu;97413580;12/07/2016;2.0
Piton St Leu;97413580;13/07/2016;0.6
Piton St Leu;97413580;14/07/2016;0.1
Piton St Leu;97413580;15/07/2016;0.2
Piton St Leu;97413580;16/07/2016;0.8
Piton St Leu;97413580;17/07/2016;1.5
Piton St Leu;97413580;18/07/2016;1.1
Piton St Leu;97413580;19/07/2016;1.0
Piton St Leu;97413580;20/07/2016;1.0
Piton St Leu;97413580;21/07/2016;1.0
Piton St Leu;97413580;22/07/2016;0.9
Piton St Leu;97413580;23/07/2016;1.0
Piton St Leu;97413580;24/07/2016;1.0
Piton St Leu;97413580;25/07/2016;1.2
Piton St Leu;97413580;26/07/2016;1.4
Piton St Leu;97413580;27/07/2016;1.9
Piton St Leu;97413580;28/07/2016;1.3
Piton St Leu;97413580;29/07/2016;0.9
Piton St Leu;97413580;30/07/2016;1.0
Piton St Leu;97413580;31/07/2016;0.9
Piton St Leu;97413580;01/08/2016;1.7
Piton St Leu;97413580;02/08/2016;0.9
Piton St Leu;97413580;03/08/2016;1.3
Piton St Leu;97413580;04/08/2016;1.2
Piton St Leu;97413580;05/08/2016;1.0
Piton St Leu;97413580;06/08/2016;1.0
Piton St Leu;97413580;07/08/2016;1.4
Piton St Leu;97413580;08/08/2016;1.3
Piton St Leu;97413580;09/08/2016;0.9
Piton St Leu;97413580;10/08/2016;1.3
Piton St Leu;97413580;11/08/2016;1.3
Piton St Leu;97413580;12/08/2016;1.3
Piton St Leu;97413580;13/08/2016;0.8
Piton St Leu;97413580;14/08/2016;1.0
Piton St Leu;97413580;15/08/2016;1.0
Piton St Leu;97413580;16/08/2016;1.0
Piton St Leu;97413580;17/08/2016;1.8
Piton St Leu;97413580;18/08/2016;1.3
Piton St Leu;97413580;19/08/2016;0.9
Piton St Leu;97413580;20/08/2016;1.1
Piton St Leu;97413580;21/08/2016;1.2
Piton St Leu;97413580;22/08/2016;0.6
Piton St Leu;97413580;23/08/2016;0.4
Piton St Leu;97413580;24/08/2016;0.2
Piton St Leu;97413580;25/08/2016;0.7
Piton St Leu;97413580;26/08/2016;0.5
Piton St Leu;97413580;27/08/2016;2.2
Piton St Leu;97413580;28/08/2016;3.9
Piton St Leu;97413580;29/08/2016;1.4
Piton St Leu;97413580;30/08/2016;1.3
Piton St Leu;97413580;31/08/2016;2.4
Piton St Leu;97413580;01/09/2016;2.1
Piton St Leu;97413580;02/09/2016;0.4
Piton St Leu;97413580;03/09/2016;0.2
Piton St Leu;97413580;04/09/2016;0.9
Piton St Leu;97413580;05/09/2016;0.8
Piton St Leu;97413580;06/09/2016;1.4
Piton St Leu;97413580;07/09/2016;1.0
Piton St Leu;97413580;08/09/2016;1.3
Piton St Leu;97413580;09/09/2016;1.3
Piton St Leu;97413580;10/09/2016;1.2
Piton St Leu;97413580;11/09/2016;1.8
Piton St Leu;97413580;12/09/2016;1.5
Piton St Leu;97413580;13/09/2016;2.5
Piton St Leu;97413580;14/09/2016;1.5
Piton St Leu;97413580;15/09/2016;0.7
Piton St Leu;97413580;16/09/2016;1.5
Piton St Leu;97413580;17/09/2016;2.2
Piton St Leu;97413580;18/09/2016;2.1
Piton St Leu;97413580;19/09/2016;1.0
Piton St Leu;97413580;20/09/2016;1.1
Piton St Leu;97413580;21/09/2016;1.3
Piton St Leu;97413580;22/09/2016;1.1
Piton St Leu;97413580;23/09/2016;1.3
Piton St Leu;97413580;24/09/2016;1.1
Piton St Leu;97413580;25/09/2016;0.9
Piton St Leu;97413580;26/09/2016;1.8
Piton St Leu;97413580;27/09/2016;1.1
Piton St Leu;97413580;28/09/2016;1.1
Piton St Leu;97413580;29/09/2016;1.2
Piton St Leu;97413580;30/09/2016;1.0
Piton St Leu;97413580;01/10/2016;1.0
Piton St Leu;97413580;02/10/2016;1.1
Piton St Leu;97413580;03/10/2016;1.0
Piton St Leu;97413580;04/10/2016;1.0
Piton St Leu;97413580;05/10/2016;1.4
Piton St Leu;97413580;06/10/2016;1.4
Piton St Leu;97413580;07/10/2016;1.0
Piton St Leu;97413580;08/10/2016;1.3
Piton St Leu;97413580;09/10/2016;1.2
Piton St Leu;97413580;10/10/2016;1.0
Piton St Leu;97413580;11/10/2016;1.0
Piton St Leu;97413580;12/10/2016;0.9
Piton St Leu;97413580;13/10/2016;1.1
Piton St Leu;97413580;14/10/2016;0.9
Piton St Leu;97413580;15/10/2016;1.2
Piton St Leu;97413580;16/10/2016;1.1
Piton St Leu;97413580;17/10/2016;0.4
Piton St Leu;97413580;18/10/2016;0.3
Piton St Leu;97413580;19/10/2016;0.4
Piton St Leu;97413580;20/10/2016;0.9
Piton St Leu;97413580;21/10/2016;1.0
Piton St Leu;97413580;22/10/2016;0.3
Piton St Leu;97413580;23/10/2016;0.4
Piton St Leu;97413580;24/10/2016;0.4
Piton St Leu;97413580;25/10/2016;0.9
Piton St Leu;97413580;26/10/2016;0.5
Piton St Leu;97413580;27/10/2016;0.5
Piton St Leu;97413580;28/10/2016;0.7
Piton St Leu;97413580;29/10/2016;1.0
Piton St Leu;97413580;30/10/2016;0.1
Piton St Leu;97413580;31/10/2016;0.5
Piton St Leu;97413580;01/11/2016;0.3
Piton St Leu;97413580;02/11/2016;0.2
Piton St Leu;97413580;03/11/2016;0.3
Piton St Leu;97413580;04/11/2016;1.7
Piton St Leu;97413580;05/11/2016;1.6
Piton St Leu;97413580;06/11/2016;1.0
Piton St Leu;97413580;07/11/2016;0.9
Piton St Leu;97413580;08/11/2016;1.4
Piton St Leu;97413580;09/11/2016;0.5
Piton St Leu;97413580;10/11/2016;0.3
Piton St Leu;97413580;11/11/2016;0.1
Piton St Leu;97413580;12/11/2016;0.6
Piton St Leu;97413580;13/11/2016;0.6
Piton St Leu;97413580;14/11/2016;0.3
Piton St Leu;97413580;15/11/2016;0.1
Piton St Leu;97413580;16/11/2016;0.4
Piton St Leu;97413580;17/11/2016;0.3
Piton St Leu;97413580;18/11/2016;0.4
Piton St Leu;97413580;19/11/2016;0.3
Piton St Leu;97413580;20/11/2016;0.5
Piton St Leu;97413580;21/11/2016;0.3
Piton St Leu;97413580;22/11/2016;0.5
Piton St Leu;97413580;23/11/2016;0.1
Piton St Leu;97413580;24/11/2016;0.3
Piton St Leu;97413580;25/11/2016;0.7
Piton St Leu;97413580;26/11/2016;0.3
Piton St Leu;97413580;27/11/2016;0.4
Piton St Leu;97413580;28/11/2016;0.5
Piton St Leu;97413580;29/11/2016;0.43333333333333335
Piton St Leu;97413580;30/11/2016;0.3666666666666667
Piton St Leu;97413580;01/12/2016;0.3
Piton St Leu;97413580;02/12/2016;1.15
Piton St Leu;97413580;03/12/2016;2.0
Piton St Leu;97413580;04/12/2016;1.6
Piton St Leu;97413580;05/12/2016;1.3
Piton St Leu;97413580;06/12/2016;0.3
Piton St Leu;97413580;07/12/2016;0.4
Piton St Leu;97413580;08/12/2016;1.0
Piton St Leu;97413580;09/12/2016;1.3
Piton St Leu;97413580;10/12/2016;0.9
Piton St Leu;97413580;11/12/2016;0.6
Piton St Leu;97413580;12/12/2016;0.4
Piton St Leu;97413580;13/12/2016;0.8
Piton St Leu;97413580;14/12/2016;0.3
Piton St Leu;97413580;15/12/2016;0.8
Piton St Leu;97413580;16/12/2016;0.9
Piton St Leu;97413580;17/12/2016;0.6
Piton St Leu;97413580;18/12/2016;0.3
Piton St Leu;97413580;19/12/2016;0.6
Piton St Leu;97413580;20/12/2016;0.4
Piton St Leu;97413580;21/12/2016;0.5
Piton St Leu;97413580;22/12/2016;0.2
Piton St Leu;97413580;23/12/2016;0.1
Piton St Leu;97413580;24/12/2016;0.2
Piton St Leu;97413580;25/12/2016;0.4
Piton St Leu;97413580;26/12/2016;0.5
Piton St Leu;97413580;27/12/2016;0.7
Piton St Leu;97413580;28/12/2016;0.6
Piton St Leu;97413580;29/12/2016;0.6
Piton St Leu;97413580;30/12/2016;1.5
Piton St Leu;97413580;31/12/2016;1.0
